年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,12,00,00,35.7,37,51.4,141,32.5,48,0.8,福島県沖
2022,6,12,00,02,35.1,44,55.1,151,10.1,30,4.0,千島列島
2022,6,12,00,03,55.1,39,27.4,140,52.3,139,1.5,岩手県内陸南部
2022,6,12,00,05,58.8,37,53.0,141,41.6,55,1.6,宮城県沖
2022,6,12,00,06,16.9,36,25.2,141,4.1,34,1.8,茨城県沖
2022,6,12,00,07,19.7,34,15.7,131,34.0,17,0.9,山口県中部
2022,6,12,00,08,6.8,33,58.0,135,4.3,9,0.2,紀伊水道
2022,6,12,00,12,18.3,34,50.9,137,4.2,8,0.4,愛知県西部
2022,6,12,00,14,34.6,35,53.3,140,23.4,39,0.2,千葉県北西部
2022,6,12,00,15,34.9,37,30.6,137,16.5,11,0.7,石川県能登地方
2022,6,12,00,22,49.7,36,23.8,140,55.4,39,0.9,茨城県沖
2022,6,12,00,23,23.2,36,46.5,140,34.4,9,0.5,茨城県北部
2022,6,12,00,24,41.5,32,19.2,130,57.0,40,0.3,熊本県球磨地方
2022,6,12,00,30,13.3,37,58.7,141,39.9,47,0.9,宮城県沖
2022,6,12,00,30,14.3,34,47.8,135,28.0,11,0.3,大阪府北部
2022,6,12,00,31,36.2,31,50.9,129,20.2,6,2.7,薩摩半島西方沖
2022,6,12,00,32,48.0,38,20.6,142,11.5,33,0.9,宮城県沖
2022,6,12,00,34,38.0,38,25.4,142,12.9,18,1.0,宮城県沖
2022,6,12,00,34,45.0,35,57.8,139,32.8,47,2.5,埼玉県南部
2022,6,12,00,35,23.8,24,44.0,125,16.5,50,1.4,宮古島近海
2022,6,12,00,35,53.4,36,38.7,137,53.7,4,-0.2,長野県北部
2022,6,12,00,45,51.9,28,6.8,130,22.4,33,1.7,奄美大島近海
2022,6,12,00,46,1.8,35,53.2,140,53.5,9,1.3,茨城県沖
2022,6,12,00,47,33.0,32,41.7,132,3.4,38,0.3,日向灘
2022,6,12,00,48,3.8,37,47.7,142,10.8,35,0.7,福島県沖
2022,6,12,00,48,27.4,36,37.8,139,25.3,7,0.6,栃木県北部
2022,6,12,00,49,23.4,37,50.1,141,37.0,49,2.7,福島県沖
